id,username,password,name,regtime,borntime,phone,email,address
1,chu_mai_lien,lien,Chu Mai Lien,22/05/2003 16:14:56,26/02/1995 01:30:44,(08) 38463526,ChuMaiLien@gmail.com,"176/9A Le Văn Sy, 10 ward, Ba Dinh Dist., Ca Mau"
2,dau_minh_hong,hong,Dau Minh Hong,22/03/2003 23:40:50,23/12/1989 16:12:02,(08) 38120584,DauMinhHong@gmail.com,"Unit 2, E.Town Building, 364 Cong Hoa, Da Lat, Hanoi"
3,vo_minh_phuong,phuong,Vo Minh Phuong,08/04/2005 15:53:41,01/12/1987 03:22:50,84-4-2734022,VoMinhPhuong@gmail.com,"52 Tue Tinh Street, Tan Binh Ward, Lam Dong"
4,ninh_my_loi,loi,Ninh My Loi,09/08/2009 11:13:25,05/09/2004 04:00:53,(84-8) 3834 3691/(84-8) 3832 7725,NinhMyLoi@gmail.com,"58B Do Thanh Living Quarter, Ward 4, District 3, Ho Chi Minh City, Binh Phuoc"
5,vu_my_phuong,phuong,Vu My Phuong,03/06/2006 15:14:35,16/12/1988 15:57:27,(84-77) 3 869 516/(84-77) 3 845 845,VuMyPhuong@gmail.com,"11 Mau Than Street, Rach Gia Township, Ha Dong, Ho Chi Minh City"
6,lam_my_thuan,thuan,Lam My Thuan,20/05/1997 00:11:15,04/03/1992 23:16:49,(84-8) 38 277 839,LamMyThuan@gmail.com,"88 Nguyen Du Street, District 1, Ho Chi Minh City, Hanoi"
7,leu_ngoc_ðao,ðao,Leu Ngoc Ðao,05/09/1991 00:04:12,31/01/1984 16:49:08,04. 3622 8177,LeuNgocÐao@gmail.com,"181 Bach Mai, Tan Phong Ward, Ho Chi Minh City"
8,bo_ngoc_lien,lien,Bo Ngoc Lien,17/04/2009 06:56:35,21/09/2007 04:10:03,(08) 38400142,BoNgocLien@gmail.com,"12A13 Me Linh, Ward 19, Dong Da District, Dong Nai"
9,quang_nguyet_hong,hong,Quang Nguyet Hong,29/06/1998 15:46:11,02/03/1993 20:38:57,(84-8) 5411 1037,QuangNguyetHong@gmail.com,"09 Cao Trieu Phat Street, Hung Phuoc 1, Tan Phong Ward, Cao Bang Province, Hanoi"
10,ca_nhat_lan,lan,Ca Nhat Lan,19/05/1999 20:09:42,11/10/1990 04:58:57,(84-4) 38 733 744,CaNhatLan@gmail.com,"63 Nguyen Son Street, Ha Noi, Cao Bang"
11,ha_phuong_an,an,Ha Phuong An,02/06/2008 09:52:57,29/01/2001 18:05:44,(84-8) 37 294 160/(84-8) 38 965 635/(84-8) 38 965 694,HaPhuongAn@gmail.com,"Lot B,Binh Chieu Ward, Thu Duc District, Khanh Hau Ward, Hanoi"
12,mang_phuong_giang,giang,Mang Phuong Giang,26/10/2004 15:06:50,12/08/1991 06:00:29,511-3736217,MangPhuongGiang@gmail.com,"Road 10 Hoa Khanh IZ., Dong Nai, Long An"
13,duong_phuong_lien,lien,Duong Phuong Lien,14/03/2001 04:22:28,05/12/1988 05:49:49,(650) 3755942,DuongPhuongLien@gmail.com,"Dong Tu Group, Go Vap District, Dong Nai"
14,trung_phuong_lien,lien,Trung Phuong Lien,01/11/2006 23:43:30,27/12/1991 09:56:39,(04) 38687290,TrungPhuongLien@gmail.com,"Building.C3, Giai Phong, Phuong Liet Ward, Ho Chi Minh City, Ho Chi Minh City"
15,dao_quynh_dung,dung,Dao Quynh Dung,30/05/2001 21:58:47,04/01/1982 19:52:21,(84-4) 38 74 0761,DaoQuynhDung@gmail.com,"32 Giang Cao, Bat Trang Village, Ba Dinh District ., Ho Chi Minh City"
16,mau_tam_thanh,thanh,Mau Tam Thanh,29/11/2006 03:42:38,18/03/2001 09:24:04,(84-651) 3 568 342,MauTamThanh@gmail.com,"414 Hamlet 2aLoc Ninh Town, Loc Ninh District, Ho Chi Minh City, Hanoi"
17,moc_thach_thao,thao,Moc Thach Thao,07/06/1987 13:27:19,10/03/1986 06:23:14,08. 3849 601020 1120 1220,MocThachThao@gmail.com,"1a Hamlet, Ho Chi Minh City, Ho Chi Minh City"
