id,username,password,name,regtime,borntime,phone,email,address,catruc,luong
1,tuan_diem_my,my,Tuan Diem My,25/10/2006 12:40:51,21/07/1999 12:34:13,(08) 38576156/38578257,TuanDiemMy@gmail.com,"649 Le Hong Phong, Ward 10, Dist.10, Tan Binh District, Ho Chi Minh City",07:57:17~13:53:59|15:07:03~22:57:12|00:18:16~07:11:29|02:41:08~14:36:32|11:47:53~19:20:39|15:20:09~17:29:00|14:17:52~16:53:46,251660|503320|1258300|2021/10/24 19:03:15
2,giao_dien_vy,vy,Giao Dien Vy,22/12/2002 07:13:07,04/05/1997 17:16:12,(84-73) 387 2833/(84-73) 387 2833,GiaoDienVy@gmail.com,"Tan My Chanh Street, My Tho City, Hanoi, Ho Chi Minh City",15:07:03~22:57:12|00:18:16~07:11:29|02:41:08~14:36:32|11:47:53~19:20:39|15:20:09~17:29:00|14:17:52~16:53:46|07:55:53~14:40:24,498233|996466|2491165|2022/01/30 16:39:19
3,cat_dieu_huyen,huyen,Cat Dieu Huyen,31/05/1988 10:04:10,27/11/1981 04:10:37,(780) 3847472,CatDieuHuyen@gmail.com,"254B Highway 1, Ho Chi Minh City, Hanoi",00:18:16~07:11:29|02:41:08~14:36:32|11:47:53~19:20:39|15:20:09~17:29:00|14:17:52~16:53:46|07:55:53~14:40:24|13:48:16~22:11:15,442936|885872|2214680|2022/08/31 05:42:49
4,chu_dieu_thuy,thuy,Chu Dieu Thuy,22/11/2008 18:39:48,21/03/1994 06:59:44,(84-4) 38 470 111/(84-4) 38 472 367/(84-4) 38 472 350,ChuDieuThuy@gmail.com,"Floor 5, 81C Thuy Khue Street, Ho Chi Minh City, Ho Chi Minh City",02:41:08~14:36:32|11:47:53~19:20:39|15:20:09~17:29:00|14:17:52~16:53:46|07:55:53~14:40:24|13:48:16~22:11:15|00:23:36~02:37:40,316135|632270|1580675|2020/04/22 02:07:10
5,ma_hanh_chi,chi,Ma Hanh Chi,17/08/2010 14:56:09,19/07/1984 23:20:45,(84-4) 3821 2668,MaHanhChi@gmail.com,"9 Pham Dinh Ho Street, Hai Ba Trung, Ho Chi Minh City",11:47:53~19:20:39|15:20:09~17:29:00|14:17:52~16:53:46|07:55:53~14:40:24|13:48:16~22:11:15|00:23:36~02:37:40|12:37:43~21:43:23,243498|486996|1217490|2022/07/31 16:18:25
6,anh_hieu_van,van,Anh Hieu Van,20/11/2002 00:50:31,20/03/2001 18:32:34,08.54046595,AnhHieuVan@gmail.com,"300 Hai Ba Trung, District 3, Binh Thanh Dist., Hanoi",15:20:09~17:29:00|14:17:52~16:53:46|07:55:53~14:40:24|13:48:16~22:11:15|00:23:36~02:37:40|12:37:43~21:43:23|00:12:12~08:55:13,264547|529094|1322735|2021/01/29 08:27:18
7,mua_hoang_lan,lan,Mua Hoang Lan,07/02/1990 02:57:23,21/07/1982 19:53:15,(84-8) 9102127/9102183,MuaHoangLan@gmail.com,"Floor 9, 41 Nguyen Thi Minh Khai St., Ben Nghe Ward, Tan Phong Ward, Ho Chi Minh City",14:17:52~16:53:46|07:55:53~14:40:24|13:48:16~22:11:15|00:23:36~02:37:40|12:37:43~21:43:23|00:12:12~08:55:13|05:45:55~20:40:25,235495|470990|1177475|2022/04/10 17:07:10
8,duc_hoang_thu,thu,Duc Hoang Thu,22/05/1995 05:05:35,06/11/1992 19:31:02,(84-4) 5729215,DucHoangThu@gmail.com,"16B Da Nang St., May To Ward, Gia Lam District, Ho Chi Minh City",07:55:53~14:40:24|13:48:16~22:11:15|00:23:36~02:37:40|12:37:43~21:43:23|00:12:12~08:55:13|05:45:55~20:40:25|09:18:59~17:40:49,294807|589614|1474035|2020/07/26 21:50:28
9,thai_huyen_linh,linh,Thai Huyen Linh,17/07/2003 22:12:33,16/04/1995 07:42:32,(04) 36648767,ThaiHuyenLinh@gmail.com,"907 Giai Phong, Giap Bat Ward, Ho Chi Minh City, Hanoi",13:48:16~22:11:15|00:23:36~02:37:40|12:37:43~21:43:23|00:12:12~08:55:13|05:45:55~20:40:25|09:18:59~17:40:49|03:06:57~21:17:10,493040|986080|2465200|2021/12/17 00:15:58
10,cai_huyen_tram,tram,Cai Huyen Tram,15/06/2000 09:32:40,10/12/1994 11:47:06,( 84-8) 38944992,CaiHuyenTram@gmail.com,"No.3 , No.1 Street - Area 26B, Lien Chieu Dist., Ho Chi Minh City",00:23:36~02:37:40|12:37:43~21:43:23|00:12:12~08:55:13|05:45:55~20:40:25|09:18:59~17:40:49|03:06:57~21:17:10|02:18:53~18:57:56,381857|763714|1909285|2022/03/10 12:03:12
11,nham_khanh_linh,linh,Nham Khanh Linh,10/01/2003 16:53:28,12/04/1986 07:17:27,(84-31) 3 745 722/(84-31) 3 823 042,NhamKhanhLinh@gmail.com,"133 Dien Bien Phu Street, Lai Thieu Townlet, Danang",12:37:43~21:43:23|00:12:12~08:55:13|05:45:55~20:40:25|09:18:59~17:40:49|03:06:57~21:17:10|02:18:53~18:57:56|03:49:49~06:48:16,394319|788638|1971595|2021/07/15 08:50:43
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
