"id","username","password","name","regtime","borntime","phone","email","address","catruc","luong","completion "
"5550190","Hoang Ngoc Quang","310074","Hoang Ngoc Quang","28/05/2012 04:03:49","1987/04/12 03:55:22","(84-34) 3 832 256","HoangNgocQuang@gmail.com","254B Highway 1, Ho Chi Minh City","4","3495413","2"
"4278357","Hoang Hong Quy","305028","Hoang Hong Quy","20/04/2019 05:52:39","2005/01/15 02:18:38","(04) 36648767","HoangHongQuy@gmail.com","1/22A Au Co St., Tan Son Nhi Ward, Ho Chi Minh City","4","1025027","1"
"4676478","Hoang Ngoc Tru","669708","Hoang Ngoc Tru","20/11/2018 08:05:03","1988/08/01 15:31:53","(84-8) 8411725","HoangNgocTru@gmail.com","86/47 Ha Noi Highway, Linh Trung Ward, Binh Tan Dist., Ho Chi Minh City","1","4490668","5"
"7590569","Hoang The Anh","217391","Hoang The Anh","14/02/2019 02:29:05","2009/09/27 08:06:28","(84-8) 8436722","HoangTheAnh@gmail.com","1/120 Dinh Cong, Ngo Quyen Dist., Haiphong","5","2998497","2"
"1886549","Hoang Duong Anh","980634","Hoang Duong Anh","20/05/2011 21:00:17","2001/05/17 10:14:14","(84-18) 385 2043","HoangDuongAnh@gmail.com","10 Ho Xuan Huong Street, Tan Binh District, Ho Chi Minh City","4","4986758","2"
"4541220","Hoang Hong Thinh","417595","Hoang Hong Thinh","02/04/2020 01:13:21","1992/01/27 17:38:02","04.37478310","HoangHongThinh@gmail.com","Kha Van Can, Area 4, Hiep Binh Chanh Ward, Yen Hung District, Quang Ninh","4","4541098","1"
"2016380","Hoang Quoc Minh","783416","Hoang Quoc Minh","02/12/2014 14:40:50","1996/06/01 14:44:52","(84-8) 3875 0053/(84-8) 3875 0214","HoangQuocMinh@gmail.com","33 Dang Thi Nhu St., Nguyen Thai Binh Ward, Dist. 1, Tam Phuoc Ip, An Giang","1","1232080","4"
"7786636","Hoang The Son","282524","Hoang The Son","10/07/2020 13:26:28","2000/02/24 19:42:17","08. 7542186","HoangTheSon@gmail.com","Kha Van Can, Area 4, Hiep Binh Chanh Ward, Yen Hung District, Quang Ninh","3","3048352","4"
"2364627","Hoang Thanh Nguyen","986885","Hoang Thanh Nguyen","22/03/2019 14:31:34","1995/11/24 07:05:47","(84-8) 38 480 035","HoangThanhNguyen@gmail.com","177 Dien Bien Phu, Ho Chi Minh City, Ho Chi Minh City","2","4144564","3"
"6886688","Hoang An Nam","422299","Hoang An Nam","07/09/2012 16:58:29","1981/08/20 00:04:23","(08) 38576156/38578257","HoangAnNam@gmail.com","585 Hoang Lien StreetKim Tan Ward, City, Go Vap District, Ho Chi Minh City","3","1130394","4"
"6388216","Tran Uyen Nhi","167211","Tran Uyen Nhi","29/10/2010 03:33:41","1981/11/27 17:30:34","(84-4) 3823 4142/(84-4) 3823 5465","TranUyenNhi@gmail.com","Amata Industrial Zone 104/1 Street 2, Lot 2, Tan Binh Dist, Ho Chi Minh City","1","1678584","1"
"9065392","Tran Nhat Thuong","961442","Tran Nhat Thuong","05/08/2015 13:18:17","1996/04/25 06:01:19","84-90-6274687","TranNhatThuong@gmail.com","287 Nguyen Thien Thuat, Ward 1, District 3, Ba Dinh District, Hanoi","1","3022819","3"
"7868255","Tran Viet Tuyet","600449","Tran Viet Tuyet","02/12/2013 15:02:25","1987/02/05 02:50:20","( 84-8) 38944992","TranVietTuyet@gmail.com","243a Bui Dinh Tuy street, Ward 24, Tan Binh Dist., Ho Chi Minh City","3","717037","4"
"9659460","Tran Vi An","300039","Tran Vi An","27/09/2013 05:12:50","2003/02/24 12:28:40","(84-8) 9974999","TranViAn@gmail.com","157-159 Xuan Hong Street, Ward 12, Tan Binh District, Ho Chi Minh City","3","1748649","3"
"5276939","Tran Bich Phuong","143227","Tran Bich Phuong","22/05/2018 08:57:45","2007/05/27 08:39:31","(84-8) 8436722","TranBichPhuong@gmail.com","Industrial zones Yen Phong, Yen Phong, Phu Nhuan District, Ho Chi Minh City","5","2361300","4"
"2562676","Tran Ngoc Diem","320882","Tran Ngoc Diem","17/01/2011 14:40:24","1999/11/26 00:20:29","(84-18) 385 2043","TranNgocDiem@gmail.com","Nguyen Dang Dao, District Ninh Kieu, Can Tho","1","4203550","2"
"2929173","Tran Minh Ngan","566791","Tran Minh Ngan","01/06/2011 22:29:50","1994/06/10 15:36:46","04.37478310","TranMinhNgan@gmail.com","Chua Thong Street, Son Loc Ward, Son Tay Town, Tan Phong Ward, Ho Chi Minh City","3","4525890","5"
"6043069","Tran Thien Giang","895166","Tran Thien Giang","04/11/2017 10:56:36","1988/08/31 11:50:16","(84-8) 3875 0053/(84-8) 3875 0214","TranThienGiang@gmail.com","1/22A Au Co St., Tan Son Nhi Ward, Ho Chi Minh City, Ho Chi Minh City","4","1505286","2"
"7100489","Tran Ai Nhi","482012","Tran Ai Nhi","15/07/2019 01:41:15","1985/04/21 14:38:27","08. 7542186","TranAiNhi@gmail.com","304/51a Dao Duy Anh, 9 Ward, Minh Khai Ward, Ho Chi Minh City","1","881558","4"
"4547015","Tran Cam Chi","980763","Tran Cam Chi","03/10/2010 22:15:41","2004/06/17 22:23:10","(84-8) 38 480 035","TranCamChi@gmail.com","229 Bai Say St., Ward 4, Dist. 6, Gia Lam District, Hanoi","4","1751189","1"
"6530709","Nguyen Quang Thong","425456","Nguyen Quang Thong","14/11/2018 22:31:50","1982/07/09 18:49:07","(08) 38576156/38578257","NguyenQuangThong@gmail.com","1C Trang Tien, Trang Tien Ward, Hoang Mai Dist., Haiphong","4","1846357","5"
"9656723","Nguyen Ngoc Thach","199372","Nguyen Ngoc Thach","21/02/2020 08:40:24","1987/10/04 09:05:33","(84-4) 3823 4142/(84-4) 3823 5465","NguyenNgocThach@gmail.com","10 Ho Xuan Huong Street, Tan Binh District, Ho Chi Minh City","4","4282582","1"
"9353075","Nguyen Thanh Thien","556591","Nguyen Thanh Thien","11/03/2020 22:47:51","2005/02/22 17:09:32","08. 7542186","NguyenThanhThien@gmail.com","21 Ha Huy Tap street, Phu My Hung, Tan Phong Ward, Dong Da District, Hanoi","5","1316232","2"
"2287101","Nguyen Truong An","776084","Nguyen Truong An","21/09/2014 14:58:59","2006/04/08 08:16:10","(84-8) 38 480 035","NguyenTruongAn@gmail.com","16B Da Nang St., May To Ward, Gia Lam District, Ho Chi Minh City","5","2690240","4"
"9278934","Nguyen Khai Tam","933638","Nguyen Khai Tam","12/07/2013 14:47:06","2002/09/22 00:20:25","(08) 38576156/38578257","NguyenKhaiTam@gmail.com","166-172 Street 1, Binh Tri Dong B Ward, Hoang Mai Dist., Hanoi","3","4240669","3"
"6819878","Nguyen Duy Hung","648527","Nguyen Duy Hung","29/07/2011 17:38:34","2004/02/22 08:37:53","(84-4) 3823 4142/(84-4) 3823 5465","NguyenDuyHung@gmail.com","20 Le Hong Phong Street, Ho Chi Minh City, Hanoi","5","4517941","5"
"2335014","Nguyen Anh Thai","197138","Nguyen Anh Thai","11/01/2013 20:38:03","2008/03/21 07:52:58","84-90-6274687","NguyenAnhThai@gmail.com","423 Nguyen Khang St., Yen Hoa Ward, Binh Thanh District, Ho Chi Minh City","1","1531875","4"
"3118958","Nguyen Gia Thien","162452","Nguyen Gia Thien","21/12/2012 22:49:53","2010/01/28 09:13:10","( 84-8) 38944992","NguyenGiaThien@gmail.com","10 - 11 Nguyen Ai Quoc, KP 8, Ho Chi Minh City, Ho Chi Minh City","1","4879847","4"
"6231507","Nguyen Bao Lan","961424","Nguyen Bao Lan","24/03/2012 04:52:59","2005/03/01 18:05:46","(84-8) 9974999","NguyenBaoLan@gmail.com","135 Nguyen Viet Xuan Street, Vinh City, Binh Phuoc Province, Binh Phuoc","1","3511889","1"
"6287597","Nguyen Bich Thao","842537","Nguyen Bich Thao","29/01/2015 12:45:37","2006/09/29 22:23:12","(84-8) 8436722","NguyenBichThao@gmail.com","Lo 9, C, Industrial zones Tan Tao, Tan Phu Dist., Ho Chi Minh City","3","776251","2"
"5186452","Nguyen Van Ngoc","313840","Nguyen Van Ngoc","29/09/2016 22:05:06","2001/05/14 06:25:06","(84-18) 385 2043","NguyenVanNgoc@gmail.com","NGUYEN TRAI STREET, BA DINH WARD, THANH HOA CITY, Hai Ba Trung District., Hanoi","2","2170056","5"
"7297037","Nguyen Van Chi","655432","Nguyen Van Chi","22/07/2014 06:30:21","2006/01/17 17:47:10","04.37478310","NguyenVanChi@gmail.com","22 Doc Lap Street, Phu Nhuan Dist., Ho Chi Minh City","5","691055","2"
"2049078","Nguyen Tu Linh","878561","Nguyen Tu Linh","25/05/2019 17:01:58","1995/09/15 02:44:03","(84-8) 3875 0053/(84-8) 3875 0214","NguyenTuLinh@gmail.com","No. 34A Han Thuyen, District Hai Ba Trung, Ha Noi, Hanoi","5","4585696","1"
"3701663","Nguyen Thuy Trang","730278","Nguyen Thuy Trang","01/08/2018 12:17:20","2003/03/16 03:36:33","(84-8) 8411725","NguyenThuyTrang@gmail.com","126A+127 Dien Bien Phu StreetWard 6, Town, Phu Nhuan District, Ho Chi Minh City","4","3195259","5"
"7642529","Nguyen Tue Man","602739","Nguyen Tue Man","15/12/2012 07:44:46","2007/02/13 09:00:41","(84-8) 8436722","NguyenTueMan@gmail.com","Tay Dang Town, Ba Vi Dist, Ho Chi Minh City, Ho Chi Minh City","5","3944462","2"
"2519942","Nguyen Thanh Tuyet","571850","Nguyen Thanh Tuyet","01/09/2018 17:55:09","2004/06/14 04:54:50","(84-18) 385 2043","NguyenThanhTuyet@gmail.com","Collective Academy of Finance, Group 10, Cau Dien Town, Thu Duc Dist., Ho Chi Minh City","1","3540507","5"
"6939845","Nguyen Le Chi","917583","Nguyen Le Chi","18/12/2011 00:01:01","2009/01/01 03:29:35","04.37478310","NguyenLeChi@gmail.com","NGUYEN TRAI STREET, BA DINH WARD, THANH HOA CITY, Hai Ba Trung District., Hanoi","1","1801720","1"
"4352356","Nguyen Quynh Thanh","834057","Nguyen Quynh Thanh","22/08/2017 12:16:41","1982/07/15 22:29:35","(84-8) 3875 0053/(84-8) 3875 0214","NguyenQuynhThanh@gmail.com","1425 - 1427, Area My Toan 2, Tan Phong, Thu Duc Dist., Ho Chi Minh City","5","3873203","1"
"8663247","Nguyen Minh Tam","697534","Nguyen Minh Tam","27/09/2018 01:58:06","1994/11/11 08:46:05","08. 7542186","NguyenMinhTam@gmail.com","Thanh Tri Ward, Nam Dinh City, Nam Dinh","2","1231164","5"
"5151965","Nguyen Xuyen Chi","720634","Nguyen Xuyen Chi","07/04/2017 06:27:25","1998/03/10 12:25:11","(84-8) 38 480 035","NguyenXuyenChi@gmail.com","75/16 Go Dau Street, Tan Quy Ward, Hai Ba Trung Dist., Hanoi","3","1825764","5"
"7405431","Nguyen Xuan Lan","625723","Nguyen Xuan Lan","16/07/2020 02:32:21","1990/12/16 17:20:15","(08) 38576156/38578257","NguyenXuanLan@gmail.com","33 Dang Thi Nhu St., Nguyen Thai Binh Ward, Dist. 1, Tam Phuoc Ip, An Giang","2","1421397","2"
"3789342","Nguyen Phuong Khanh Huyen","859858","Nguyen Phuong Khanh Huyen","13/06/2018 12:05:24","1988/06/23 14:05:55","(84-4) 3823 4142/(84-4) 3823 5465","NguyenPhuongKhanhHuyen@gmail.com","Binh Duc 1, Vung Tau City, Ba Ria-Vung Tau","3","1305555","3"
"7439939","Vo Hai Nam","134639","Vo Hai Nam","19/10/2011 15:37:42","1995/08/02 12:54:33","84-90-6274687","VoHaiNam@gmail.com","No.3 , No.1 Street - Area 26B, Lien Chieu Dist., Ho Chi Minh City","2","3193982","2"
"8273164","An Son Tung","694475","An Son Tung","18/02/2013 00:36:02","1990/11/27 02:44:22","( 84-8) 38944992","AnSonTung@gmail.com","69 Nguyen Huy Dien Street, Ward 7, Thu Duc Dist., Ho Chi Minh City","5","2644600","1"
"1726058","An Cao Tho","806332","An Cao Tho","15/09/2017 03:00:40","1997/06/14 07:51:17","(84-8) 9974999","AnCaoTho@gmail.com","12 Dien Bien Phu, Hai Chau District, Da Nang","1","4358762","3"
"6888414","An Thanh Chau","160819","An Thanh Chau","22/11/2013 00:53:38","1988/04/11 20:22:28","(84-8) 8436722","AnThanhChau@gmail.com","521 - 521A Ly Thuong Kiet, Ward 8, Ho Chi Minh City, Ho Chi Minh City","5","4216477","1"
"3668210","An Hung Ðao","249003","An Hung Ðao","25/11/2018 14:09:12","1994/09/02 19:21:55","(84-18) 385 2043","AnHungÐao@gmail.com","75/16 Go Dau Street, Tan Quy Ward, Hai Ba Trung Dist., Hanoi","1","2464299","4"
"7818691","An Ngoc Ha","171729","An Ngoc Ha","18/07/2018 07:21:10","1988/07/06 05:11:27","04.37478310","AnNgocHa@gmail.com","308A Quang Trung, P11, Ben Nghe Ward, Ho Chi Minh City","4","4632740","3"
"2946426","An Thien Trang","295312","An Thien Trang","13/04/2020 23:30:26","1991/04/27 19:42:32","(84-8) 3875 0053/(84-8) 3875 0214","AnThienTrang@gmail.com","157-159 Xuan Hong Street, Ward 12, Tan Binh District, Ho Chi Minh City","1","2117334","5"
"5858213","An Anh Ngoc","365751","An Anh Ngoc","18/01/2018 15:40:53","2000/04/01 10:46:09","08. 7542186","AnAnhNgoc@gmail.com","10 Le Thi Rieng, Ben Thanh Ward, Dist.1, Long Binh Ward, Dong Nai","4","2999559","2"
